,status,primary_color,secondary_color,name,full_color
415,shelter_or_rescue,Tabby,White,Jesse,Tabby White
416,shelter_or_rescue,Tortoiseshell,,Bo Peep,Tortoiseshell 
417,shelter_or_rescue,Black,,Woody,Black 
418,shelter_or_rescue,Orange Tabby,,Dusty,Orange Tabby 
419,shelter_or_rescue,Brown Tabby,White,Wanda,Brown Tabby White
420,shelter_or_rescue,Brown Tabby,,Cosmo,Brown Tabby 
421,shelter_or_rescue,Black,White,Randall,Black White
422,shelter_or_rescue,Brown Tabby,,Allison,Brown Tabby 
423,shelter_or_rescue,Grey Tabby,,Betty,Grey Tabby 
424,shelter_or_rescue,Black,White,Rudy,Black White
425,shelter_or_rescue,Black,,Boo,Black 
426,shelter_or_rescue,Grey Tabby,,Hazel,Grey Tabby 
427,shelter_or_rescue,Orange Tabby,White,Oliver,Orange Tabby White
428,shelter_or_rescue,Torbie,White,Pompom,Torbie White
429,shelter_or_rescue,Brown Tabby,,Princess Mia,Brown Tabby 
430,shelter_or_rescue,White,,Roxy,White 
431,shelter_or_rescue,Brown Tabby,,Cooper,Brown Tabby 
432,shelter_or_rescue,Black,,Addie,Black 
433,shelter_or_rescue,Grey Tabby,,Charlotte,Grey Tabby 
434,shelter_or_rescue,Black,White,Judy,Black White
435,shelter_or_rescue,White,,Dutchess,White 
436,shelter_or_rescue,Grey,White,Hatch,Grey White
437,shelter_or_rescue,Brown Tabby,,Dopey,Brown Tabby 
438,shelter_or_rescue,Brown Tabby,,Bashful,Brown Tabby 
439,shelter_or_rescue,Brown Tabby,,Doc,Brown Tabby 
440,shelter_or_rescue,"Black 
Tortoiseshell",,Ruthie,"Black 
Tortoiseshell "
441,shelter_or_rescue,Black,,Fro Fro,Black 
442,shelter_or_rescue,Brown Tabby,White,Gir,Brown Tabby White
443,shelter_or_rescue,Black,,Ethel,Black 
444,shelter_or_rescue,Brown Tabby,White,Brockster,Brown Tabby White
445,shelter_or_rescue,Black,White,Star,Black White
446,shelter_or_rescue,"Black 
Tortoiseshell",,Clawdia,"Black 
Tortoiseshell "
447,shelter_or_rescue,Grey Tabby,,Diez,Grey Tabby 
448,shelter_or_rescue,Black,White,Meeka,Black White
449,shelter_or_rescue,Black,,Vader,Black 
450,shelter_or_rescue,Black,White,Luke,Black White
451,shelter_or_rescue,Buff,White,Otis,Buff White
452,shelter_or_rescue,Orange Tabby,,Mr. Ginger,Orange Tabby 
453,shelter_or_rescue,Black,White,Luca,Black White
454,shelter_or_rescue,Black,,Genevieve,Black 
455,shelter_or_rescue,Black,White,Elijah,Black White
456,shelter_or_rescue,White,Black,Bonnie,White Black
457,shelter_or_rescue,Smoke,,Simon,Smoke 
458,shelter_or_rescue,White,Brown Tabby,Daphne,White Brown Tabby
459,shelter_or_rescue,Brown Tabby,,Tracy,Brown Tabby 
460,shelter_or_rescue,Seal Point,,Charli,Seal Point 
461,shelter_or_rescue,Cream,Seal Point,Alaya,Cream Seal Point
462,shelter_or_rescue,"Chocolate 
Point",,Milo,"Chocolate 
Point "
463,shelter_or_rescue,Buff Tiger,,Bryan,Buff Tiger 
464,shelter_or_rescue,"Black 
Tortoiseshell",,Slinky,"Black 
Tortoiseshell "
465,shelter_or_rescue,"Black 
Tortoiseshell",,Slinky,"Black 
Tortoiseshell "
466,shelter_or_rescue,"Black 
Tortoiseshell",,Wheezy,"Black 
Tortoiseshell "
467,shelter_or_rescue,,,,
468,shelter_or_rescue,,,,
