,family,name,acquired_from,age,color,weight,socialness,intelligence,activity_level,vocalization
167,89,Toulouse ,stray,Mature ,Brown tabby/brown tabby with white,,3,6,7,6
168,90,Domino ,friend_or_relative,Senior ,Classic tuxedo black and white,21,10,10,3,9
169,90,Shadow ,stray,Adult ,Classic tuxedo black and white,7,7,8,5,4
170,91,Diego,friend_or_relative,Senior ,Orange tabby/orange tabby with white,15,1,8,1,5
171,91,Carmine,shelter_or_rescue,Mature ,Gray tabby/gray tabby with white,15,8,10,6,5
172,92,Zoey,shelter_or_rescue,Mature ,Classic tuxedo black and white,12,8,6,6,7
173,93,Churchill,stray,Senior ,Solid gray,15,5,8,3,5
174,94,Tiger,friend_or_relative,Mature ,Orange tabby/orange tabby with white,8,4,5,5,7
175,92,Oliver,shelter_or_rescue,Mature ,Gray tabby/gray tabby with white,10,2,6,8,2
176,93,Laney,stray,Mature ,Brown tabby/brown tabby with white,14,1,2,5,4
177,95,Little Cat,friend_or_relative,Adult ,Gray tuxedo gray and white,8,7,8,7,7
178,96,MC,friend_or_relative,Senior ,Calico,10,3,5,2,1
179,97,Jolean,shelter_or_rescue,Junior ,Orange tabby/orange tabby with white,17,7,9,8,5
180,98,Tilly,friend_or_relative,Super Senior ,Gray tabby/gray tabby with white,8,9,7,4,9
181,99,Lolly,stray,Super Senior ,Mostly white with a few large brown spots including a heart on shoulder,8,7,9,1,6
182,100,miso,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,16,7,6,7,6
183,101,Jack,friend_or_relative,Mature ,Brown tabby/brown tabby with white,,3,9,4,8
184,101,Bailey,stray,Mature ,Tortoiseshell,13,7,7,4,4
185,102,Fenix,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,15,10,8,3,10
186,102,Collins,shelter_or_rescue,Kitten ,Solid black,16,5,8,5,1
187,103,Loki,shelter_or_rescue,Junior ,Gray tuxedo gray and white,3,9,7,8,10
188,104,Izzy Ruth,friend_or_relative,Adult ,Calico,12,3,8,4,8
189,105,Milo,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,7,8,8,9,9
190,106,Gracie ,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,10,5,9,4,8
191,106,Ginger ,shelter_or_rescue,Junior ,Calico,8,8,1,8,3
192,107,Violet ,friend_or_relative,Mature ,Gray tabby/gray tabby with white,7,8,9,2,5
193,107,Kinsi,friend_or_relative,Adult ,Solid gray,10,3,10,7,8
194,108,Luna ,stray,Junior ,She is a calico and a tabby ,13,9,8,5,4
195,109,Lara,stray,Adult ,Classic tuxedo black and white,14,8,8,5,6
196,110,Sir Bright Eyes,stray,Mature ,Seal point,9,5,9,8,8
197,111,Berlioz,shelter_or_rescue,Junior ,Orange tabby/orange tabby with white,15,9,1,4,2
198,112,Gypsie,stray,Adult ,Classic tuxedo black and white,8,1,7,3,6
199,113,socks,stray,Super Senior ,Classic tuxedo black and white,8,5,5,2,4
200,114,Jake,shelter_or_rescue,Super Senior ,Classic tuxedo black and white,10,8,8,7,10
201,115,Screech,stray,Adult ,"Black and white splotches, not tuxedo",13,4,7,5,1
202,116,Loki,friend_or_relative,Mature ,Brown tabby/brown tabby with white,9,5,8,9,6
203,117,Rum Tum Tugger,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,15,7,8,7,8
204,118,Gavin,stray,Junior ,Solid black,14,10,6,3,2
205,118,Scratch,stray,Kitten ,Brown tabby/brown tabby with white,9,1,1,2,1
206,119,Colonel,stray,Mature ,Orange tabby/orange tabby with white,16,6,6,2,4
207,119,Sage,shelter_or_rescue,Mature ,Tortoiseshell,9,7,8,7,7
208,119,Juniper,stray,Adult ,Calico,7,2,9,6,10
209,120,Cash,friend_or_relative,Mature ,Brown tabby/brown tabby with white,15,3,10,3,3
210,120,Callie,friend_or_relative,Mature ,Brown tabby/brown tabby with white,14,9,8,6,8
211,121,Daisy ,shelter_or_rescue,Junior ,Tortoiseshell,8,9,9,5,8
212,122,Scoobs,stray,Adult ,Gray tabby/gray tabby with white,,10,7,7,6
213,123,Sebastian ,friend_or_relative,Mature ,Brown tabby/brown tabby with white,12,6,8,5,9
214,124,Max,friend_or_relative,Mature ,"almost all white but black tail, and partly black on head and face ",,8,9,8,7
215,124,Michael,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,12,1,7,5,6
216,125,Pete,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,17,7,4,2,7
217,126,Mork,friend_or_relative,Adult ,Solid white,6,2,8,5,8
218,126,Mindy,friend_or_relative,Mature ,Orange tabby/orange tabby with white,6,1,7,4,3
219,126,Monkey,friend_or_relative,Adult ,Classic tuxedo black and white,4,10,10,10,6
220,126,Moonpie ,stray,Adult ,Brown tabby/brown tabby with white,8,3,4,2,3
221,127,Dolly Parton,shelter_or_rescue,Kitten ,White with brown and black spots,7,1,7,10,1
222,128,Monty,shelter_or_rescue,Junior ,Gray tabby/gray tabby with white,10,7,7,8,8
223,129,Tyler,friend_or_relative,Mature ,Orange tabby/orange tabby with white,16,10,6,3,2
224,129,Henrietta ,friend_or_relative,Mature ,Calico,15,2,6,2,3
225,129,Skyler,friend_or_relative,Adult ,Solid black,11,5,5,3,7
226,130,Milo the Kitty Cat,friend_or_relative,Super Senior ,Orange tabby/orange tabby with white,15,8,7,3,7
227,131,Nala,friend_or_relative,Junior ,Calico,5,3,7,5,4
228,131,Nari,friend_or_relative,Kitten ,Orange tabby/orange tabby with white,,7,4,8,8
229,132,Boss,shelter_or_rescue,Super Senior ,Brown tabby/brown tabby with white,7,5,7,3,8
230,133,Yogi,friend_or_relative,Junior ,Gray tabby/gray tabby with white,10,8,5,5,4
231,134,BabyCat,stray,Super Senior ,Calico,5,1,4,1,3
232,135,Ben,shelter_or_rescue,Mature ,Hes a cream tabby,13,10,7,5,10
233,135,Dahlia,shelter_or_rescue,Senior ,Solid black,11,3,7,5,3
234,136,Ralph,shelter_or_rescue,Adult ,Solid black,24,3,4,4,8
235,136,Lucy,stray,Mature ,Tortoiseshell,9,3,8,8,5
236,137,Diaphanous,cat_cafe,Junior ,Solid black,9,8,8,8,8
237,138,Smokey,shelter_or_rescue,Mature ,Gray tuxedo gray and white,9,1,6,6,10
238,137,Paisley,cat_cafe,Junior ,Calico,9,10,7,4,9
239,137,Piper,cat_cafe,Junior ,Brown tabby/brown tabby with white,7,2,5,6,3
240,137,Whiskey,cat_cafe,Junior ,Fire point siamese,6,10,2,8,10
241,139,Clark,shelter_or_rescue,Kitten ,Solid gray,7,10,5,7,2
242,139,Kiki,friend_or_relative,Senior ,Gray tuxedo gray and white,15,7,8,3,6
243,140,Dr Henry Jones. Jr,stray,Mature ,Brown tabby/brown tabby with white,10,8,8,3,3
244,140,Billy Shipton ,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,12,4,3,2,5
245,141,Kittles,from_owned_pet,Senior ,Solid black,,4,4,3,6
246,142,Kitka,friend_or_relative,Senior ,Long hair black and white marbled non-tuxedo,11,3,4,4,6
247,143,Bijou,shelter_or_rescue,Junior ,Tortoiseshell,11,5,10,6,6
248,144,Jefferson,friend_or_relative,Mature ,Brown tabby/brown tabby with white,15,8,6,1,4
249,143,Cosmo Charlie ,shelter_or_rescue,Junior ,Classic tuxedo black and white,13,8,7,8,10
250,145,Chai,stray,Adult ,Brown tabby/brown tabby with white,10,4,7,5,4
251,143,Bijou ,shelter_or_rescue,Adult ,Tortoiseshell,11,6,10,6,6
252,144,Oliver,cat_cafe,Adult ,Classic tuxedo black and white,11,6,3,4,5
